date,forecast
2025-04-28,1941.2583
2025-05-05,1889.9304
2025-05-12,2236.2124
2025-05-19,2239.2805
2025-05-26,2264.9219
2025-06-02,2244.7214
2025-06-09,2230.6875
2025-06-16,2222.6536
2025-06-23,2224.172
2025-06-30,2222.7888
2025-07-07,2225.5266
2025-07-14,2226.8113
2025-07-21,2139.3306
2025-07-28,2141.2676
2025-08-04,2148.805
2025-08-11,2128.4412
2025-08-18,2128.4294
2025-08-25,2127.815
2025-09-01,2127.4443
2025-09-08,2127.2263
2025-09-15,2127.2263
2025-09-22,2127.1628
2025-09-29,2127.0867
2025-10-06,2132.5437
2025-10-13,2132.5437
2025-10-20,2132.6458
2025-10-27,2132.6458
2025-11-03,2132.1357
2025-11-10,2132.1362
2025-11-17,2132.1562
2025-11-24,2132.1562
2025-12-01,2131.6008
2025-12-08,2131.8938
2025-12-15,2131.9006
2025-12-22,2131.5337
2025-12-29,2130.7778
2026-01-05,2121.8718
2026-01-12,2121.4805
2026-01-19,2119.6108
2026-01-26,2119.136
2026-02-02,2121.6545
2026-02-09,2123.6238
2026-02-16,2123.6917
2026-02-23,2128.8767
2026-03-02,1910.4583
2026-03-09,1911.8032
2026-03-16,1885.0459
2026-03-23,1570.4792
2026-03-30,1477.5994
2026-04-06,1688.2081
2026-04-13,1598.6996
2026-04-20,1657.7319
2026-04-27,1670.2699
2026-05-04,1665.3324
2026-05-11,1670.724
2026-05-18,1663.2671
2026-05-25,1662.8864
2026-06-01,1676.3765
2026-06-08,1674.5532
2026-06-15,1673.5371
2026-06-22,1672.9756
2026-06-29,1673.5361
2026-07-06,1676.5465
2026-07-13,1676.4474
