Date,Qty,Year,Month,Month_sin,Month_cos,Is_FY_Start,Is_FY_End,FinancialYear,SeasonalIndex,Qty_lag_1,Qty_lag_2,Qty_lag_3,Qty_lag_6,Qty_lag_12,Qty_lag_24,Qty_delta_1,Qty_delta_2,Qty_delta_3,Qty_delta_6,Qty_delta_12,Qty_pct_change_1,Qty_pct_change_2,Qty_pct_change_3,Qty_pct_change_6,Qty_pct_change_12,Qty_roll_mean_3,Qty_roll_std_3,Qty_roll_min_3,Qty_roll_max_3,Qty_roll_median_3,Qty_roll_mean_6,Qty_roll_std_6,Qty_roll_min_6,Qty_roll_max_6,Qty_roll_median_6,Qty_roll_mean_12,Qty_roll_std_12,Qty_roll_min_12,Qty_roll_max_12,Qty_roll_median_12,Qty_roll_mean_24,Qty_roll_std_24,Qty_ewm_0.1,Qty_ewm_0.3,Qty_ewm_0.5,Qty_ytd_sum,Qty_ytd_mean,Qty_fy_cumsum,Qty_fy_cummean,Qty_mom_growth,Qty_yoy_growth,Qty_trend_3,Qty_trend_6,Qty_trend_12
2022-02-01,6578.5,2022,2,0.8660254037844386,0.5000000000000001,0,0,2021,2.99374179092946,4362.5,15309.0,2316.5,2353.0,9687.0,14183.5,2216.0,-8730.5,4262.0,4225.5,-3108.5,0.5079656160458452,-0.5702854530015025,1.8398445931361969,1.7957926051848703,-0.32089398162485805,8750.0,5787.31585020206,4362.5,15309.0,6578.5,5838.25,4867.390273544951,2316.5,15309.0,3870.75,5297.541666666667,4412.367296270447,1508.0,15309.0,3231.5,4431.322916666667,3590.246594775882,5162.2335177913255,6190.154590043493,6629.174697165698,10941.0,5470.5,53664.0,4878.545454545455,0.5079656160458452,-0.32089398162485805,-4365.250000000002,937.8714285714283,32.043706293706045
2022-03-01,8796.5,2022,3,1.0,6.123233995736766e-17,0,1,2021,3.061577686780499,6578.5,4362.5,15309.0,3379.0,9906.5,4037.5,2218.0,4434.0,-6512.5,5417.5,-1110.0,0.337158926807023,1.0163896848137535,-0.4254033575021229,1.6032849955608168,-0.11204764548528745,6579.166666666667,2217.0000751766647,4362.5,8796.5,6578.5,6741.166666666667,4822.22400627207,2316.5,15309.0,5470.5,5205.041666666667,4317.579016797246,1508.0,15309.0,3231.5,4629.614583333333,3697.3729128137065,5525.660166012192,6972.058213030445,7712.837348582849,19737.5,6579.166666666667,62460.5,5205.041666666667,0.337158926807023,-0.11204764548528745,2216.9999999999995,868.6285714285711,376.11713286713257
2022-04-01,12907.0,2022,4,0.8660254037844387,-0.4999999999999998,1,0,2022,1.0,8796.5,6578.5,4362.5,3084.0,10650.5,3235.75,4110.5,6328.5,8544.5,9823.0,2256.5,0.46728812595918834,0.9619974158242761,1.958624641833811,3.1851491569390404,0.21186798741843105,9427.333333333334,3211.0654124968114,6578.5,12907.0,8796.5,8378.333333333334,4996.598169421536,2316.5,15309.0,7687.5,5393.083333333333,4615.184463137728,1508.0,15309.0,3231.5,5032.583333333333,4049.1441276727433,6263.794149410973,8752.54074912131,10309.918674291424,32644.5,8161.125,12907.0,12907.0,0.46728812595918834,0.21186798741843105,3164.2499999999995,1018.0285714285712,919.8671328671327
2022-05-01,4868.0,2022,5,0.49999999999999994,-0.8660254037844387,0,0,2022,0.14158959673254776,12907.0,8796.5,6578.5,2316.5,1508.0,2434.0,-8039.0,-3928.5,-1710.5,2551.5,3360.0,-0.6228403192066321,-0.4465980787813335,-0.2600136809303033,1.1014461472048347,2.2281167108753315,8857.166666666666,4019.8433530839634,4868.0,12907.0,8796.5,8803.583333333334,4456.939705859464,4362.5,15309.0,7687.5,5673.083333333333,4457.274380326518,1867.0,15309.0,3870.75,5134.0,4011.5359305058114,6124.214734469876,7587.178524384916,7588.959337145712,37512.5,7502.5,17775.0,8887.5,-0.6228403192066321,2.2281167108753315,-1964.2499999999989,-695.8142857142853,723.076923076923
2022-06-01,3776.0,2022,6,1.2246467991473532e-16,-1.0,0,0,2022,0.1752969344162246,4868.0,12907.0,8796.5,15309.0,1867.0,1486.0,-1092.0,-9131.0,-5020.5,-11533.0,1909.0,-0.22432210353327853,-0.7074455721701403,-0.5707383618484625,-0.7533477039649878,1.0224959828602036,7183.666666666667,4986.534300827914,3776.0,12907.0,4868.0,6881.416666666667,3467.257063107184,3776.0,12907.0,5723.25,5832.166666666667,4341.650384428261,2256.0,15309.0,4069.25,5229.416666666667,3947.7204640550267,5889.3932610228885,6443.824967069441,5682.479668572856,41288.5,6881.416666666667,21551.0,7183.666666666667,-0.22432210353327853,1.0224959828602036,-4565.500000000001,-112.95714285714304,477.10839160839157
2022-07-01,2126.5,2022,7,-0.4999999999999997,-0.8660254037844388,0,0,2022,0.21182104126566828,3776.0,4868.0,12907.0,4362.5,2256.0,1514.0,-1649.5,-2741.5,-10780.5,-2236.0,-129.5,-0.4368379237288136,-0.5631676253081348,-0.8352444410010071,-0.5125501432664756,-0.05740248226950351,3590.1666666666665,1380.1652376919806,2126.5,4868.0,3776.0,6508.75,3886.910505144155,2126.5,12907.0,5723.25,5821.375,4351.497219479333,2126.5,15309.0,4069.25,5254.9375,3924.5690273292093,5513.103934920599,5148.627476948608,3904.489834286428,43415.0,6202.142857142857,23677.5,5919.375,-0.4368379237288136,-0.05740248226950351,-1370.7500000000002,-1296.0142857142855,172.02972027972046
2022-08-01,2567.5,2022,8,-0.8660254037844385,-0.5000000000000004,0,0,2022,0.22092859490164782,2126.5,3776.0,4868.0,6578.5,2353.0,1307.0,441.0,-1208.5,-2300.5,-4011.0,214.5,0.2073830237479426,-0.3200476694915254,-0.4725760065735415,-0.609713460515315,0.09116022099447507,2823.3333333333335,853.990973800875,2126.5,3776.0,2567.5,5840.25,4204.46427919182,2126.5,12907.0,4322.0,5839.25,4336.368943440625,2126.5,15309.0,4069.25,5307.458333333333,3877.591556726559,5218.543541428539,4374.289233864025,3235.994917143214,45982.5,5747.8125,26245.0,5249.0,0.2073830237479426,0.09116022099447507,-604.2500000000006,-1845.1000000000006,-110.77272727272724
2022-09-01,2792.0,2022,9,-1.0,-1.8369701987210297e-16,0,0,2022,0.3172621003708746,2567.5,2126.5,3776.0,8796.5,3379.0,2520.0,224.5,665.5,-984.0,-6004.5,-587.0,0.08743914313534562,0.31295556078062536,-0.260593220338983,-0.6826010345023589,-0.1737200355134655,2495.3333333333335,338.568432275322,2126.5,2792.0,2567.5,4839.5,4072.6161125252156,2126.5,12907.0,3284.0,5790.333333333333,4369.826709344087,2126.5,15309.0,4069.25,5318.791666666667,3869.479228292665,4975.889187285686,3899.602463704817,3013.9974585716072,48774.5,5419.388888888889,29037.0,4839.5,0.08743914313534562,-0.1737200355134655,332.75,-1689.3142857142855,-339.80419580419533
2022-10-01,2512.5,2022,10,-0.8660254037844386,0.5000000000000001,0,0,2022,0.28956387024083374,2792.0,2567.5,2126.5,12907.0,3084.0,2293.0,-279.5,-55.0,386.0,-10394.5,-571.5,-0.10010744985673348,-0.02142161635832518,0.18151892781565948,-0.8053381885798404,-0.18531128404669261,2624.0,148.06839635801754,2512.5,2792.0,2567.5,3107.0833333333335,1025.0636768838672,2126.5,4868.0,2679.75,5742.708333333333,4404.976253461602,2126.5,15309.0,4069.25,5327.9375,3862.2692623145217,4729.550268557117,3483.471724593372,2763.2487292858036,51287.0,5128.7,31549.5,4507.071428571428,-0.10010744985673348,-0.18531128404669261,-27.50000000000019,-408.242857142857,-588.8898601398598
2022-11-01,2554.0,2022,11,-0.5000000000000004,0.8660254037844384,0,0,2022,0.21750152574996479,2512.5,2792.0,2567.5,4868.0,2316.5,3065.5,41.5,-238.0,-13.5,-2314.0,237.5,0.016517412935323383,-0.08524355300859598,-0.005258033106134374,-0.4753492193919474,0.10252536153680114,2619.5,150.8235724283012,2512.5,2792.0,2554.0,2721.4166666666665,559.7175552603965,2126.5,3776.0,2560.75,5762.5,4388.686182571148,2126.5,15309.0,4069.25,5306.625,3876.680859149441,4511.995241701406,3204.6302072153603,2658.624364642902,53841.0,4894.636363636364,34103.5,4262.9375,0.016517412935323383,0.10252536153680114,-119.00000000000027,-135.07142857142853,-867.2692307692308
2022-12-01,18024.5,2022,12,-2.4492935982947064e-16,1.0,0,0,2022,1.4373973052908313,2554.0,2512.5,2792.0,3776.0,15309.0,5191.5,15470.5,15512.0,15232.5,14248.5,2715.5,6.057361002349256,6.173930348258707,5.455766475644699,3.7734375,0.17737931935462803,7697.0,8943.901427788658,2512.5,18024.5,2554.0,5096.166666666667,6337.22347457202,2126.5,18024.5,2560.75,5988.791666666667,4958.672084239404,2126.5,18024.5,4069.25,5841.333333333333,4664.986284677789,5863.245717531265,7650.591145050752,10341.562182321451,71865.5,5988.791666666667,52128.0,5792.0,6.057361002349256,0.17737931935462803,7755.999999999995,2261.999999999999,38.27797202797195
2023-01-01,6551.5,2023,1,0.49999999999999994,0.8660254037844387,0,0,2022,0.40960518285526504,18024.5,2554.0,2512.5,2126.5,4362.5,6010.0,-11473.0,3997.5,4039.0,4425.0,2189.0,-0.6365225110266581,1.5651918559122944,1.6075621890547263,2.0808840818245944,0.5017765042979943,9043.333333333334,8030.629961798347,2554.0,18024.5,6551.5,5833.666666666667,6177.987444683476,2512.5,18024.5,2679.75,6171.208333333333,4933.606676561799,2126.5,18024.5,4322.0,5863.895833333333,4667.146519018005,5932.071145778138,7320.863801535525,8446.531091160727,6551.5,6551.5,58679.5,5867.95,-0.6365225110266581,0.5017765042979943,1998.750000000003,1875.971428571428,-14.001748251748054
2023-02-01,15250.5,2023,2,0.8660254037844386,0.5000000000000001,0,0,2022,0.6176705318999108,6551.5,18024.5,2554.0,2567.5,6578.5,9687.0,8699.0,-2774.0,12696.5,12683.0,8672.0,1.32778752957338,-0.15390163388720912,4.9712216131558336,4.939824732229796,1.3182336398875125,13275.5,5986.058887114288,6551.5,18024.5,15250.5,7947.5,6957.539816630587,2512.5,18024.5,4671.75,6893.875,5590.136675532752,2126.5,18024.5,4322.0,6095.708333333333,4992.143505629329,6863.914031200325,9699.754661074867,11848.515545580363,21802.0,10901.0,73930.0,6720.909090909091,1.32778752957338,1.3182336398875125,-1387.0000000000018,2567.999999999999,353.7150349650348
2023-03-01,9593.0,2023,3,1.0,6.123233995736766e-17,0,1,2022,0.8259236655556077,15250.5,6551.5,18024.5,2792.0,8796.5,9906.5,-5657.5,3041.5,-8431.5,6801.0,796.5,-0.3709714435592276,0.4642448294283752,-0.467779966157175,2.435888252148997,0.09054737679758995,10465.0,4414.5711286601745,6551.5,15250.5,9593.0,9081.0,6487.778633708149,2512.5,18024.5,8072.25,6960.25,5619.433283865748,2126.5,18024.5,4322.0,6082.645833333333,4982.13873552131,7136.822628080293,9667.728262752407,10720.75777279018,31395.0,10465.0,83523.0,6960.25,-0.3709714435592276,0.09054737679758995,1520.7500000000011,1771.9714285714283,544.0104895104889
2023-04-01,7147.5,2023,4,0.8660254037844387,-0.4999999999999998,1,0,2023,1.0,9593.0,15250.5,6551.5,2512.5,12907.0,10650.5,-2445.5,-8103.0,596.0,4635.0,-5759.5,-0.25492546648597936,-0.5313268417428937,0.0909715332366634,1.8447761194029852,-0.4462307275122027,10663.666666666666,4156.248017543383,7147.5,15250.5,9593.0,9853.5,5787.383700775333,2554.0,18024.5,8370.25,6480.291666666667,5302.36003826398,2126.5,18024.5,4322.0,5936.6875,4893.01444122239,7137.890365272264,8911.659783926685,8934.12888639509,38542.5,9635.625,7147.5,7147.5,-0.25492546648597936,-0.4462307275122027,-4051.4999999999977,182.05714285714268,821.5192307692305
2023-05-01,7890.5,2023,5,0.49999999999999994,-0.8660254037844387,0,0,2023,0.3771596807933679,7147.5,9593.0,15250.5,2554.0,4868.0,1508.0,743.0,-1702.5,-7360.0,5336.5,3022.5,0.10395243091990203,-0.17747315751068482,-0.48260712763515945,2.0894675019577136,0.6208915365653245,8210.333333333334,1253.7294697554644,7147.5,9593.0,7890.5,10742.916666666666,4760.112334983981,6551.5,18024.5,8741.75,6732.166666666667,5290.584713059664,2126.5,18024.5,5163.75,6202.625,4814.666639889086,7213.151328745038,8605.311848748679,8412.314443197545,46433.0,9286.6,15038.0,7519.0,0.10395243091990203,0.6208915365653245,-851.2500000000009,-1558.2714285714294,802.4720279720277
2023-06-01,4617.5,2023,6,1.2246467991473532e-16,-1.0,0,0,2023,0.29255442782985974,7890.5,7147.5,9593.0,18024.5,3776.0,1867.0,-3273.0,-2530.0,-4975.5,-13407.0,841.5,-0.4148026107344275,-0.35396991955229096,-0.5186594391743979,-0.7438209104274738,0.22285487288135597,6551.833333333333,1715.880629103706,4617.5,7890.5,7147.5,8508.416666666666,3683.3321655352574,4617.5,15250.5,7519.0,6802.291666666667,5253.2850002222995,2126.5,18024.5,5584.5,6317.229166666667,4739.120721920723,6953.5861958705345,7408.968294124075,6514.907221598773,51050.5,8508.416666666666,19655.5,6551.833333333333,-0.4148026107344275,0.22285487288135597,-1265.0,-977.014285714285,586.7674825174827
2023-07-01,1841.5,2023,7,-0.4999999999999997,-0.8660254037844388,0,0,2023,0.1647555589989928,4617.5,7890.5,7147.5,6551.5,2126.5,2256.0,-2776.0,-6049.0,-5306.0,-4710.0,-285.0,-0.6011911207363292,-0.7666180850389709,-0.7423574676460301,-0.7189193314508128,-0.1340230425581942,4783.166666666667,3027.900978125497,1841.5,7890.5,4617.5,7723.416666666667,4577.238997656409,1841.5,15250.5,7519.0,6778.541666666667,5276.936901867208,1841.5,18024.5,5584.5,6299.958333333333,4755.292294122015,6442.377576283481,5738.727805886852,4178.203610799386,52892.0,7556.0,21497.0,5374.25,-0.6011911207363292,-0.1340230425581942,-3024.5000000000005,-2320.814285714285,183.4318181818184
2023-08-01,4275.0,2023,8,-0.8660254037844385,-0.5000000000000004,0,0,2023,0.19892306500348647,1841.5,4617.5,7890.5,15250.5,2567.5,2353.0,2433.5,-342.5,-3615.5,-10975.5,1707.5,1.321477056747217,-0.07417433676231722,-0.45820923895824095,-0.7196813219238714,0.6650438169425512,3578.0,1513.572181958963,1841.5,4617.5,4275.0,5894.166666666667,2825.358201479355,1841.5,9593.0,5882.5,6920.833333333333,5175.102806766844,1841.5,18024.5,5584.5,6380.041666666667,4701.815405445438,6225.639818655133,5299.6094641207965,4226.601805399693,57167.0,7145.875,25772.0,5154.4,1.321477056747217,0.6650438169425512,-171.25000000000045,-1308.0285714285708,-104.26923076923048
2023-09-01,4739.0,2023,9,-1.0,-1.8369701987210297e-16,0,0,2023,0.216316727357248,4275.0,1841.5,4617.5,9593.0,2792.0,3379.0,464.0,2897.5,121.5,-4854.0,1947.0,0.10853801169590649,1.5734455606842248,0.026312939902544574,-0.5059939539247368,0.697349570200573,3618.5,1556.3164042057822,1841.5,4739.0,4275.0,5085.166666666667,2174.368912274699,1841.5,7890.5,4678.25,7083.083333333333,5063.1988713269075,1841.5,18024.5,5645.25,6436.708333333333,4672.17604296427,6076.975836789619,5131.426624884557,4482.800902699846,61906.0,6878.444444444444,30511.0,5085.166666666667,0.10853801169590649,0.697349570200573,1448.75,-733.2857142857147,-375.86013986013916
2023-10-01,6570.5,2023,10,-0.8660254037844386,0.5000000000000001,0,0,2023,0.1946618114201596,4739.0,4275.0,1841.5,7147.5,2512.5,3084.0,1831.5,2295.5,4729.0,-577.0,4058.0,0.3864739396497152,0.5369590643274853,2.5680152049959273,-0.08072752710738018,1.6151243781094529,5194.833333333333,1213.7413576760653,4275.0,6570.5,4739.0,4989.0,2075.4232821282485,1841.5,7890.5,4678.25,7421.25,4861.687326339582,1841.5,18024.5,6561.0,6581.979166666667,4617.278639215505,6126.328253110658,5563.148637419189,5526.650451349923,68476.5,6847.65,37081.5,5297.357142857143,0.3864739396497152,1.6151243781094529,1147.7499999999998,-108.6285714285712,-603.3286713286706
2023-11-01,6021.0,2023,11,-0.5000000000000004,0.8660254037844384,0,0,2023,0.19787712094212442,6570.5,4739.0,4275.0,7890.5,2554.0,2316.5,-549.5,1282.0,1746.0,-1869.5,3467.0,-0.08363138269538084,0.2705212070056975,0.408421052631579,-0.23693048602750144,1.3574784651527017,5776.833333333333,939.8463083575601,4739.0,6570.5,6021.0,4677.416666666667,1649.2862521911286,1841.5,6570.5,4678.25,7710.166666666667,4644.301920992361,1841.5,18024.5,6561.0,6736.333333333333,4529.572428392989,6115.795427799592,5700.504046193432,5773.825225674962,74497.5,6772.5,43102.5,5387.8125,-0.08363138269538084,1.3574784651527017,641.0000000000001,619.0999999999998,-878.4230769230769
2023-12-01,23411.0,2023,12,-2.4492935982947064e-16,1.0,0,0,2023,1.3964902765940963,6021.0,6570.5,4739.0,4617.5,18024.5,15309.0,17390.0,16840.5,18672.0,18793.5,5386.5,2.8882245474173724,2.563046952286736,3.940071745093902,4.070059556036816,0.2988432411439985,12000.833333333334,9885.3130999141,6021.0,23411.0,6570.5,7809.666666666667,7818.930103707709,1841.5,23411.0,5380.0,8159.041666666667,5838.569047363689,1841.5,23411.0,6561.0,7073.916666666667,5412.185933586366,7845.315885019632,11013.652832335403,14592.412612837481,97908.5,8159.041666666667,66513.5,7390.388888888889,2.8882245474173724,0.2988432411439985,8420.249999999996,3283.342857142856,194.28846153846138
2024-01-01,6385.0,2024,1,0.49999999999999994,0.8660254037844387,0,0,2023,0.5075927791121098,23411.0,6021.0,6570.5,1841.5,6551.5,4362.5,-17026.0,364.0,-185.5,4543.5,-166.5,-0.7272649609158088,0.060455073907988766,-0.028232250209268672,2.467282106978007,-0.025414027321987276,11939.0,9936.710320825498,6021.0,23411.0,6385.0,8566.916666666666,7330.053699780558,4275.0,23411.0,6203.0,8145.166666666667,5842.932772057871,1841.5,23411.0,6477.75,7158.1875,5383.803364707606,7699.28429651767,9625.056982634782,10488.70630641874,6385.0,6385.0,72898.5,7289.85,-0.7272649609158088,-0.025414027321987276,182.00000000000412,1886.1857142857145,52.98601398601374
2024-02-01,12797.5,2024,2,0.8660254037844386,0.5000000000000001,0,0,2023,1.1815681413186643,6385.0,23411.0,6021.0,4275.0,15250.5,6578.5,6412.5,-10613.5,6776.5,8522.5,-2453.0,1.004306969459671,-0.4533552603476998,1.1254774954326523,1.9935672514619882,-0.16084718533818565,14197.833333333334,8598.94581232684,6385.0,23411.0,12797.5,9987.333333333334,7155.70013113089,4739.0,23411.0,6477.75,7940.75,5610.019500452253,1841.5,23411.0,6477.75,7417.3125,5503.031176211768,8209.105866865902,10576.789887844347,11643.10315320937,19182.5,9591.25,85696.0,7790.545454545455,1.004306969459671,-0.16084718533818565,-5306.750000000002,1632.1714285714277,554.8916083916084
2024-03-01,22408.0,2024,3,1.0,6.123233995736766e-17,0,1,2023,0.743240102270086,12797.5,6385.0,23411.0,4739.0,9593.0,8796.5,9610.5,16023.0,-1003.0,17669.0,12815.0,0.7509669857394021,2.5094753328112764,-0.04284310794071167,3.7284237180839837,1.3358699051391638,13863.5,8064.5148180160195,6385.0,22408.0,12797.5,12932.166666666666,8132.845988131498,6021.0,23411.0,9684.0,9008.666666666666,7000.529507029299,1841.5,23411.0,6477.75,7984.458333333333,6295.671207640225,9628.995280179312,14126.15292149104,17025.551576604685,41590.5,13863.5,108104.0,9008.666666666666,0.7509669857394021,1.3358699051391638,8011.499999999998,2356.885714285714,1186.426573426573
